Question ID,Answer
188167,anne_bradstreet
188181,john_donne
5929,sister_carrie
165697,chinua_achebe
4585,the_crying_of_lot_49
5978,major_barbara
188048,the_iceman_cometh
180068,the_rime_of_the_ancient_mariner
175994,jude_the_obscure
176001,the_age_of_innocence
110467,dream_of_the_red_chamber
145327,either/or
145334,their_eyes_were_watching_god
141260,hades
112616,sinclair_lewis
188083,sister_carrie
8708,insulin
105007,zeeman_effect
104713,raman_scattering
122430,neutron
8806,raman_scattering
8295,mitochondrion
8309,glycolysis
8813,insulin
103061,histone
145558,pancreas
116389,glycine
113057,glycine
9485,sulfuric_acid
8897,pauli_exclusion_principle
188363,pancreas
170184,fugacity
10192,spin_(physics)
10493,ferromagnetism
115780,henry_cabot_lodge
10521,raman_scattering
8932,electronegativity
112693,capacitor
147637,pauli_exclusion_principle
173894,dopamine
184632,angular_momentum
108094,pancreas
104825,microtubule
108535,ester
113813,alkene
8428,glycolysis
8197,anaphase
107429,spin_(physics)
8617,wittig_reaction
9373,liquid_crystal
185269,ester
10689,raman_scattering
107471,neutron
168420,aspirin
110054,cholesterol
8176,operon
161777,electronegativity
113659,magnetic_field
12292,hypnos
12320,thoth
106533,hera
120974,carthage
12460,battle_of_trenton
117082,epicurus
106925,quetzalcoatl
12726,indra
10738,franz_boas
10752,gunnar_myrdal
111111,melampus
12817,zoroastrianism
10850,emile_durkheim
12999,hera
105189,bystander_effect
123634,emile_durkheim
105245,pragmatism
11046,taiping_rebellion
13125,tlaloc
13167,baldr
13195,ishtar
109452,karl_marx
11158,orinoco
109543,john_stuart_mill
121856,heracles
11417,seychelles
122073,immanuel_kant
122080,alfred_adler
107821,martin_heidegger
11578,either/or
11753,anomie
11914,immanuel_kant
11942,a_theory_of_justice
105077,indra
118482,tezcatlipoca
12026,peter_abelard
12033,the_protestant_ethic_and_the_spirit_of_capitalism
116501,poseidon
12054,the_structure_of_scientific_revolutions
12061,martin_heidegger
163618,yom_kippur
12075,stanley_milgram
103740,the_theory_of_the_leisure_class
108416,maxim_gorky
13293,artemis
106393,phillips_curve
188314,martin_heidegger
